data_instance	premise	ask-for	hypothesis1	hypothesis2	true_label	predicted_label
dev-0	The child brought psycho-physical phenomena on a new life.	cause	The woman gave birth to a child.	The baby feels the awareness through physical sensations.	0	1
dev-1	Otters enter their new habitat.	effect	Otters start looking for abalone for food.	They always live by the water so that they can drink water easily.	0	0
dev-2	Lila can find what she wants quickly.	cause	Lila bought several kinds of textbooks.	Lila loves classification of her things.	1	1
dev-3	The chance she gets flu becomes smaller.	cause	The fish has suffered from the infection.	She has been vaccined.	1	1
dev-4	He got some rum.	cause	The worker fremented some sugar cane with yeast.	Tom went out and want to hunt some cottontails.	0	1
dev-5	Grande opened the drawers.	effect	The red blood flew out.	He saw his old clothing.	1	1
dev-6	He will not withstand the dry climate there.	cause	Jack's farm experienced a drought this year.	He wants to travel the Sahara desert.	1	1
dev-7	Black's sweat always drips into his eyes.	cause	Black pulled out his eyelashes for beauty.	Black doesn't like sleeping.	0	1
dev-8	Racing drivers will encounter common dangers from time to time.	cause	Smoking will inhale nicotine.	There are many obstacles on the track.	1	1
dev-9	The bar asks a businessman for help.	cause	There was a serious financial crisis in Australia.	The bar wants to devise some tests.	1	1
dev-10	Lily has taken some sulfonamedes to make hemolysis.	effect	The medicine didn't work.	Lily has been killed.	0	1
dev-11	It cannot produce oxygen.	cause	Tom's experiment produced some methanol gas.	No energy is available for the dying plant anymore.	1	1
dev-12	Tom has good eyesight.	effect	Tom found the poisonous snake in time.	Tom pays great attention to eye protection.	0	1
dev-13	Tom wants to know more about production.	effect	He bought a soda.	Tom set out to go to the dense regions.	1	0
dev-14	He observed tracks on the ground where the jaguar had moved its all tour legs.	cause	The neighbor gave Tom a saguaro.	The zoologist made an observation of the jaguar's habits.	1	1
dev-15	Lucy has established a community to help those homeless children.	effect	Many of her friends join in the warm-hearted family.	It needs a lot of people to explore it.	0	0
dev-16	Scientists avoid great impact of atoms.	cause	The abuse of nuclear power is terrifying.	He was studying atoms.	0	1
